bin,aspect_min,aspect_max,n,accuracy,precision,recall,f1,n_pos,n_neg
short/wide,1.4074074074074074,2.125,473,0.8731501057082452,0.5064935064935064,0.639344262295082,0.5652173913043478,61,412
normal-low,2.129032258064516,2.3703703703703702,476,0.907563025210084,0.375,0.7,0.4883720930232558,30,446
normal-high,2.370967741935484,2.727272727272727,460,0.8608695652173913,0.6666666666666666,0.5287356321839081,0.5897435897435898,87,373
tall/narrow,2.7289719626168223,6.043478260869565,467,0.8907922912205567,0.8181818181818182,0.7105263157894737,0.7605633802816901,114,353
