bin,area_min,area_max,mean_conf,n,accuracy,precision,recall,f1,n_pos,n_neg
Q1 (smallest),243.0,1536.0,0.93129007121984,376,0.8936170212765957,0.19047619047619047,0.5714285714285714,0.2857142857142857,14,362
Q2,1537.0,2475.0,0.9399240355491638,375,0.912,0.36585365853658536,0.6818181818181818,0.47619047619047616,22,353
Q3,2480.0,4982.0,0.9376170643170675,375,0.9013333333333333,0.52,0.6666666666666666,0.5842696629213483,39,336
Q4,4988.0,8100.0,0.9430404124259949,375,0.944,0.8275862068965517,0.6,0.6956521739130435,40,335
Q5 (largest),8109.0,103104.0,0.895102822303772,375,0.7653333333333333,0.8201438848920863,0.6440677966101694,0.7215189873417721,177,198
